FileName,Full_Path,Label_0.5,Label_0.8,Speech_prob,Mammal_prob,Silence_prob,Stream_prob,Aircraft_prob,Frog_prob,Cicada_prob,Insect_prob,Rain_prob,Wind_prob,Bird_prob,Owl_prob
GWB01_20250630_063000,D:\audio_label_gw35\GW_CheckAudio-20250903T053323Z-1-002\GW_CheckAudio\GWB01_20250630_063000.wav,Cicada,None,0.0701,0.0042,0.0588,0.0421,0.0171,0.2559,0.5977,0.1124,0.0059,0.0029,0.0086,0.0162
GWB01_20250610_080000,D:\audio_label_gw35\GW_CheckAudio-20250903T053323Z-1-003\GW_CheckAudio\GWB01_20250610_080000.wav,None,None,0.1205,0.0172,0.0991,0.0582,0.0378,0.1688,0.4945,0.1984,0.0138,0.008,0.0104,0.0482
GWB01_20250615_110000,D:\audio_label_gw35\GW_CheckAudio-20250903T053323Z-1-003\GW_CheckAudio\GWB01_20250615_110000.wav,Insect,None,0.4375,0.0106,0.1172,0.0205,0.1177,0.0997,0.1703,0.6001,0.0114,0.0191,0.0583,0.0079
GWB01_20250620_130000,D:\audio_label_gw35\GW_CheckAudio-20250903T053323Z-1-003\GW_CheckAudio\GWB01_20250620_130000.wav,Cicada,None,0.1385,0.0079,0.0458,0.0775,0.033,0.2344,0.773,0.1373,0.0034,0.0055,0.0029,0.0273
GWB01_20250624_141500,D:\audio_label_gw35\GW_CheckAudio-20250903T053323Z-1-002\GW_CheckAudio\GWB01_20250624_141500.wav,Cicada,Cicada,0.1552,0.0022,0.0557,0.0105,0.02,0.0108,0.9016,0.0842,0.0003,0.0082,0.0139,0.0002
GWB01_20250714_073000,D:\audio_label_gw35\GW_CheckAudio-20250903T053323Z-1-001\GW_CheckAudio\GWB01_20250714_073000.wav,Cicada,Cicada,0.1319,0.0198,0.1427,0.0277,0.0303,0.3497,0.9012,0.0889,0.008,0.003,0.0028,0.0336
GWB01_20250726_083000,D:\audio_label_gw35\GW_CheckAudio-20250903T053323Z-1-001\GW_CheckAudio\GWB01_20250726_083000.wav,None,None,0.1309,0.0088,0.0522,0.1863,0.1875,0.035,0.2534,0.2609,0.0009,0.0341,0.0252,0.0036
GWB01_20250721_101500,D:\audio_label_gw35\GW_CheckAudio-20250903T053323Z-1-001\GW_CheckAudio\GWB01_20250721_101500.wav,Cicada,None,0.1419,0.0068,0.0396,0.0972,0.1163,0.1272,0.5469,0.2086,0.0037,0.0016,0.022,0.0069
GWB01_20250708_120000,D:\audio_label_gw35\GW_CheckAudio-20250903T053323Z-1-002\GW_CheckAudio\GWB01_20250708_120000.wav,None,None,0.2609,0.0058,0.0397,0.0719,0.0995,0.0227,0.2621,0.4342,0.0018,0.0512,0.0633,0.0136
GWB01_20250715_153000,D:\audio_label_gw35\GW_CheckAudio-20250903T053323Z-1-001\GW_CheckAudio\GWB01_20250715_153000.wav,Cicada,None,0.237,0.0059,0.0473,0.1663,0.0974,0.0899,0.5402,0.2685,0.005,0.0026,0.0147,0.011
GWB01_20250716_184500,D:\audio_label_gw35\GW_CheckAudio-20250903T053323Z-1-001\GW_CheckAudio\GWB01_20250716_184500.wav,Cicada,Cicada,0.127,0.0032,0.0273,0.0157,0.0123,0.0558,0.9852,0.0452,0.002,0.0005,0.0048,0.0021
GWB01_20250801_091500,D:\audio_label_gw35\GW_CheckAudio-20250903T053323Z-1-001\GW_CheckAudio\GWB01_20250801_091500.wav,"Cicada,Insect",None,0.3223,0.0067,0.066,0.0708,0.0622,0.1102,0.6794,0.5083,0.0039,0.006,0.0263,0.0148
GWB01_20250804_103000,D:\audio_label_gw35\GW_CheckAudio-20250903T053323Z-1-001\GW_CheckAudio\GWB01_20250804_103000.wav,None,None,0.1157,0.0105,0.1581,0.1068,0.044,0.3594,0.4066,0.261,0.0195,0.0052,0.0129,0.0234
GWB01_20241230_143000,D:\audio_label_gw35\GW_CheckAudio-20250903T053323Z-1-006\GW_CheckAudio\GWB01_20241230_143000.wav,Cicada,None,0.0628,0.003,0.0182,0.0136,0.0117,0.0245,0.6583,0.0303,0.0024,0.0023,0.0056,0.0133
GWB03_20250424_021500,D:\audio_label_gw35\GW_CheckAudio-20250903T053323Z-1-005\GW_CheckAudio\GWB03_20250424_021500.wav,None,None,0.0603,0.0006,0.0232,0.2352,0.03,0.0186,0.034,0.0688,0.0237,0.0171,0.0208,0.0083
GWB03_20250412_043000,D:\audio_label_gw35\GW_CheckAudio-20250903T053323Z-1-006\GW_CheckAudio\GWB03_20250412_043000.wav,None,None,0.2,0.0034,0.0459,0.0784,0.0396,0.0281,0.0962,0.1355,0.0311,0.0346,0.0349,0.034
GWB03_20250410_074500,D:\audio_label_gw35\GW_CheckAudio-20250903T053323Z-1-006\GW_CheckAudio\GWB03_20250410_074500.wav,None,None,0.0768,0.0011,0.0124,0.1166,0.0388,0.0154,0.0207,0.1019,0.0572,0.0302,0.0418,0.0112
GWB03_20250412_154500,D:\audio_label_gw35\GW_CheckAudio-20250903T053323Z-1-006\GW_CheckAudio\GWB03_20250412_154500.wav,None,None,0.3504,0.0029,0.0112,0.0602,0.0777,0.014,0.0836,0.2495,0.0026,0.1052,0.0558,0.0057
GWB03_20250422_161500,D:\audio_label_gw35\GW_CheckAudio-20250903T053323Z-1-005\GW_CheckAudio\GWB03_20250422_161500.wav,None,None,0.1085,0.0013,0.087,0.1785,0.0516,0.0351,0.1215,0.0769,0.0392,0.015,0.022,0.015
GWB03_20250419_191500,D:\audio_label_gw35\GW_CheckAudio-20250903T053323Z-1-006\GW_CheckAudio\GWB03_20250419_191500.wav,None,None,0.0826,0.0012,0.0302,0.1583,0.0446,0.0185,0.0555,0.0955,0.0257,0.0212,0.0386,0.0126
GWB03_20250424_204500,D:\audio_label_gw35\GW_CheckAudio-20250903T053323Z-1-005\GW_CheckAudio\GWB03_20250424_204500.wav,None,None,0.1013,0.0015,0.0308,0.1913,0.0241,0.0245,0.0586,0.0351,0.035,0.0079,0.033,0.014
GWB07_20250620_094500,D:\audio_label_gw35\GW_CheckAudio-20250903T053323Z-1-003\GW_CheckAudio\GWB07_20250620_094500.wav,Cicada,Cicada,0.0627,0.0043,0.019,0.021,0.0407,0.0893,0.9964,0.166,0.0016,0.0035,0.0078,0.0014
